LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT,TOTAL_BILL,TOTAL_PAID,PAY_RATIO,AVG_DELAY
20000,Female,Graduate School,Single,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,79328,20075,0.253063231,0.333333333
150000,Female,Unknown,Single,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,9837,2183,0.221917251,0
380000,Male,University,Single,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,114815,93332,0.812890302,0
20000,Male,Graduate School,Single,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,115810,6246,0.053933166,0
70000,Male,High School,Single,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,229012,8100,0.035369326,1.5
100000,Female,High School,Others,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,265185,9606,0.036223768,0
310000,Female,University,Married,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,44125,30668,0.695025496,0
180000,Female,Graduate School,Single,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,259151,10246,0.039536795,0.5
150000,Female,Graduate School,Single,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,176751,12867,0.072797325,0.333333333
500000,Female,Graduate School,Married,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,8388,6483,0.772889843,0
180000,Female,High School,Married,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,55404,29179,0.526658725,0
180000,Female,University,Married,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,952362,34062,0.035765812,0
200000,Female,Graduate School,Single,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,6747,1900,0.28160664,1.833333333
400000,Female,University,Married,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,2284140,109029,0.047733064,0
500000,Female,High School,Married,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,109699,8816,0.080365363,0
70000,Male,University,Married,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,244242,12120,0.049622915,0
50000,Male,Graduate School,Single,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,157674,6125,0.038845973,2
50000,Female,University,Married,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,57884,1000,0.017275931,0
130000,Female,University,Married,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,2452,2353,0.959624796,0
200000,Male,Graduate School,Married,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,469636,9522,0.020275277,0.666666667
10000,Male,University,Married,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,22852,3010,0.131717136,1
210000,Female,Graduate School,Single,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,8589,9198,1.070904645,0.333333333
130000,Female,High School,Single,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,7901,41379,5.237185166,0.5
20000,Male,Unknown,Single,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,88326,3700,0.04189027,0.333333333
80000,Male,Graduate School,Single,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,2340,1950,0.833333333,0
320000,Male,University,Single,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,362152,13800,0.038105547,2
200000,Female,University,Married,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,26425,19512,0.738391675,0.333333333
290000,Female,Graduate School,Single,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,5514,5514,1,0.166666667
340000,Male,Graduate School,Single,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,142199,141997,0.998579456,0
20000,Male,University,Single,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,101328,5590,0.055167377,0.333333333
50000,Male,High School,Single,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,145406,6358,0.043725844,0
300000,Female,Graduate School,Married,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,1746,1746,1,0
30000,Female,University,Single,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,149186,8411,0.056379285,0
240000,Female,University,Single,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.166666667
470000,Female,High School,Others,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,614823,21926,0.035662296,0
360000,Female,Graduate School,Single,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,294903,161355,0.547146011,0
60000,Male,High School,Single,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,143566,5345,0.037230263,0
400000,Female,University,Married,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,700952,22753,0.03246014,0.333333333
50000,Female,High School,Single,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,177499,6052,0.034095967,0
160000,Male,University,Single,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,667013,101747,0.152541255,0
360000,Female,Graduate School,Married,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,3510,2340,0.666666667,0.333333333
160000,Female,University,Single,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,31623,8216,0.259810897,0
130000,Female,Graduate School,Married,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,226534,56705,0.250315626,0
20000,Male,High School,Single,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,61309,6151,0.100327847,1
200000,Male,Graduate School,Married,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,862167,32800,0.038043674,2
280000,Female,Graduate School,Single,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,15360,3968,0.258333333,0
100000,Female,Graduate School,Single,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,3555,7555,2.125175809,0
160000,Female,University,Married,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,4162,11018,2.647284959,0
60000,Female,University,Single,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,197839,6261,0.031646945,0
90000,Male,University,Single,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,354716,11756,0.033142007,0
360000,Male,Graduate School,Married,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,58460,120613,2.063171399,0
150000,Male,Graduate School,Single,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,479411,23841,0.049729773,0
50000,Female,High School,Married,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,83794,3783,0.045146431,0
20000,Male,University,Married,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,93217,5685,0.06098673,0
140000,Male,Graduate School,Single,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,13679,13007,0.950873602,0
380000,Female,Graduate School,Single,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,132602,42019,0.31688059,0
480000,Male,Graduate School,Married,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,2761015,130971,0.047435816,0.666666667
50000,Female,High School,Single,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,205366,6870,0.03345247,0
60000,Female,University,Single,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,342038,13517,0.039519001,1.666666667
70000,Female,University,Single,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,32109,28529,0.888504781,0
80000,Female,University,Married,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,17865,12794,0.716148894,0
350000,Male,Graduate School,Single,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,10987,15285,1.391189588,0
130000,Male,University,Single,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,680938,287768,0.422605289,0
360000,Male,University,Married,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,-618,0,0,0.166666667
330000,Female,Graduate School,Married,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,639580,32747,0.051200788,0.333333333
50000,Male,High School,Married,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,93139,7000,0.075156487,0.333333333
280000,Male,University,Married,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0,855008,40604,0.047489614,2.166666667
100000,Female,Graduate School,Single,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,335186,17866,0.053301749,0
50000,Male,University,Single,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,119110,5471,0.045932331,0
30000,Male,Graduate School,Single,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,117660,6312,0.053646099,1.166666667
240000,Male,Graduate School,Single,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,7456,7656,1.026824034,0
80000,Male,University,Single,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1,99022,7700,0.077760498,0.333333333
400000,Male,University,Married,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0,71828,57891,0.805967032,0
240000,Female,University,Single,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0,209703,11073,0.05280325,0
50000,Male,High School,Single,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1,290245,10235,0.035263312,2.166666667
450000,Male,Graduate School,Married,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.166666667
110000,Female,Graduate School,Married,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667
310000,Female,University,Married,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,1626538,53973,0.033182748,0.333333333
20000,Male,Graduate School,Single,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0,112100,4308,0.038429973,0
20000,Male,University,Single,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667
200000,Male,High School,Single,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0,617685,22056,0.035707521,0
180000,Male,Graduate School,Married,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1,668882,14771,0.022083118,0
50000,Male,University,Married,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1,30548,6200,0.202959277,0
60000,Male,High School,Married,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0,264125,7511,0.028437293,1.166666667
30000,Female,Graduate School,Single,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0,32776,31886,0.972845985,0.166666667
240000,Male,Graduate School,Single,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,11279,8944,0.792978101,0.166666667
420000,Male,University,Married,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0,1349911,53309,0.039490752,0
330000,Male,High School,Married,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0,1369317,49096,0.035854371,0
30000,Female,University,Single,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0,123482,5460,0.044216971,0
240000,Male,University,Married,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,0,77708,4627,0.059543419,1
150000,Male,Graduate School,Single,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,0,140829,20000,0.142016204,0
210000,Female,University,Married,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0,43256,7046,0.162890697,0
50000,Female,High School,Married,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,1,6932,6180,0.8915176,0
50000,Male,Graduate School,Single,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0,208330,8960,0.043008688,0
240000,Male,Graduate School,Single,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.166666667
180000,Male,University,Single,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,3828,5580,1.457680251,0
50000,Male,University,Single,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0,99487,13500,0.135696121,1.166666667
170000,Male,University,Single,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0,67988,65846,0.96849444,0
20000,Male,Graduate School,Single,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0,26510,23641,0.891776688,0
50000,Male,Graduate School,Single,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0,48184,7183,0.149074382,0.5
170000,Female,University,Single,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1,105012,3752,0.03572925,0
200000,Male,Graduate School,Single,34,1,2,0,0,0,0,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0,794273,87000,0.109534127,0.5
80000,Female,University,Married,23,1,2,3,2,0,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,0,61950,4121,0.066521388,1.333333333
260000,Female,Graduate School,Married,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0,21038,24469,1.163085845,0.166666667
140000,Male,University,Married,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,0,411323,16267,0.039547995,0.333333333
80000,Male,Graduate School,Single,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,0,256528,63000,0.245587226,0
350000,Male,Graduate School,Single,41,1,-1,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0,4744,4536,0.956155143,0.166666667
280000,Female,University,Married,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,0,971621,133200,0.137090491,0
30000,Female,High School,Single,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0,70072,8700,0.124158009,0
140000,Male,Graduate School,Married,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0,222980,35389,0.158709301,0
200000,Female,Graduate School,Single,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0,575407,22560,0.039207031,0
200000,Female,High School,Single,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,0,1018160,37788,0.03711401,0
210000,Male,High School,Married,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1,805451,65268,0.081032862,4
50000,Male,High School,Married,57,3,2,0,0,0,0,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,0,79884,3800,0.047568975,0.833333333
30000,Male,Graduate School,Single,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0,162596,8150,0.050124234,1.666666667
50000,Male,University,Single,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0,3396,2640,0.777385159,0.666666667
290000,Male,High School,Married,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,396,792,0,423,369,0,3637,2376,0.653285675,0
250000,Female,Graduate School,Married,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0,918942,39850,0.043365087,0.333333333
60000,Female,University,Married,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0,150304,10000,0.066531829,0
110000,Female,Graduate School,Single,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0,539339,21100,0.039121962,0
370000,Male,Graduate School,Single,50,-2,-2,-2,-2,-2,-2,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0,63070,61944,0.982146821,0
100000,Male,University,Married,27,-1,2,2,0,0,0,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,50000,0,310089,55906,0.180290175,0.666666667
90000,Female,University,Married,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,0,472951,24652,0.052123793,0.333333333
50000,Female,University,Single,22,0,0,0,0,0,0,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,0,171359,6795,0.039653593,0
270000,Male,University,Single,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0,180209,19000,0.105433136,0
300000,Female,Graduate School,Single,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,0,11780,11846,1.005602716,0
